trial,feedback,run_num,agent_interv,participant,prob_win_L,prob_win_R,mine_key.keys,L_stim_pos,R_stim_pos,intervention_choice_key.keys,subj_choice,condition,participant,latent_guess,feedback,trigger_onset,trial_onset,trial_offset,isi1_onset,isi1_offset,fb_onset,fb_offset,isi2_onset,isi2_offset,interv_onset,interv_offset,iti_onset,iti_offset,iri_onset,iri_offset
22,1,2,0,2,0.3,0.7,2,right,left,2,2,adversarial,2,0,1,1293.284663,294.1549788,294.5300008,294.5322628,297.0279178,297.0367118,298.5605268,298.5628828,301.5609938,301.5713138,301.9379588,301.9425338,308.6606438,421.7030318,431.6994158
23,NA,2,0,2,0.3,0.7,NA,right,left,NA,NA,adversarial,2,NA,NA,NA,308.7147948,311.2117858,311.2134798,311.2141968,311.2152238,311.2321808,311.2330978,311.2336708,311.2344078,311.2480968,311.2490798,320.7193988,421.7030318,431.6994158
24,1,2,0,2,0.3,0.7,1,left,right,2,1,adversarial,2,0,1,1320.068755,320.7813238,321.3130878,321.3149878,323.8115758,323.8203188,325.3529568,325.3549778,327.3535188,327.3610308,328.3798688,328.3877728,335.2867798,421.7030318,431.6994158
25,0,2,1,2,0.3,0.7,1,left,right,1,1,adversarial,2,1,0,1334.624622,335.3408408,335.8642018,335.8659068,337.8622298,337.8696228,339.3954748,339.3978848,343.3957118,343.4113318,344.5383918,344.5458968,351.3456118,421.7030318,431.6994158
26,0,2,0,2,0.3,0.7,1,right,left,1,1,adversarial,2,1,0,1352.10794,351.4011318,353.3484058,353.3520718,355.3546678,355.3621158,356.8880348,356.8900328,359.8890398,359.8993218,361.0399448,361.0486728,366.4046068,421.7030318,431.6994158
27,0,2,0,2,0.3,0.7,1,right,left,1,1,adversarial,2,1,0,1365.729249,366.4579388,366.9735988,366.9753688,368.4715988,368.4777198,370.0051048,370.0071328,373.0058648,373.0159678,373.9478408,373.9572638,379.9635278,421.7030318,431.6994158
28,0,2,1,2,0.3,0.7,1,left,right,1,1,adversarial,2,1,0,1379.349986,380.0195398,380.5901598,380.5918738,382.0896238,382.0955868,383.6226018,383.6249378,386.6223888,386.6325558,387.2319768,387.2376058,393.5229988,421.7030318,431.6994158
29,0,2,1,2,0.3,0.7,1,right,left,2,1,adversarial,2,0,0,1392.891685,393.5806718,394.1321568,394.1338998,395.6312998,395.6373348,397.1647448,397.1667058,400.1645838,400.1746998,400.9834268,400.9903978,407.0813348,421.7030318,431.6994158
30,1,2,0,2,0.3,0.7,1,right,left,2,1,adversarial,2,0,1,1406.916966,407.1402228,408.1586068,408.1602948,410.6566138,410.6650868,412.1987738,412.2010658,416.1987888,416.2111188,416.6584918,416.6632838,421.6484278,421.7030318,431.6994158
1,0,3,0,2,0.3,0.7,1,right,left,1,1,benevolent,2,1,0,1469.834638,0.0501450000001569,1.574748,1.57681300000013,4.07309400000008,4.08210400000007,5.606088,5.60863500000005,9.60722900000019,9.62003400000003,10.1514030000001,10.1573410000001,15.5566170000002,422.205049,432.206847
